obs_space:  [Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32)]
share_obs_space:  [Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32)]
act_space:  [Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32)]
act high:  [1. 1. 1.]
obs_dim:  12
share_obs_dim:  360
act_dim:  3
[Progress] Iter 1/1000 | avg_reward=78.3487 | p2p_mean=0.0991 | grid_buy_mean=3.2171 | grid_sell_mean=0.4683 | carbon_resp_mean=1.9210 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000100 | entropy_coef=0.0300
[Progress] Iter 5/1000 | avg_reward=78.7223 | p2p_mean=0.0869 | grid_buy_mean=3.2146 | grid_sell_mean=0.4757 | carbon_resp_mean=1.9455 | carbon_price=50.0000 | avg_agents=25.00 | lr=0.000100 | entropy_coef=0.0300
[Progress] Iter 10/1000 | avg_reward=77.9205 | p2p_mean=0.0777 | grid_buy_mean=3.2438 | grid_sell_mean=0.4943 | carbon_resp_mean=1.9319 | carbon_price=50.0000 | avg_agents=27.00 | lr=0.000099 | entropy_coef=0.0300
[Progress] Iter 15/1000 | avg_reward=79.0162 | p2p_mean=0.1213 | grid_buy_mean=3.1083 | grid_sell_mean=0.5046 | carbon_resp_mean=1.9049 | carbon_price=50.0000 | avg_agents=25.75 | lr=0.000099 | entropy_coef=0.0300
[Progress] Iter 20/1000 | avg_reward=78.2653 | p2p_mean=0.0783 | grid_buy_mean=3.1743 | grid_sell_mean=0.5248 | carbon_resp_mean=1.9609 | carbon_price=50.0000 | avg_agents=23.50 | lr=0.000098 | entropy_coef=0.0300
[Progress] Iter 25/1000 | avg_reward=77.4514 | p2p_mean=0.0799 | grid_buy_mean=3.1426 | grid_sell_mean=0.5487 | carbon_resp_mean=1.9629 | carbon_price=50.0000 | avg_agents=29.00 | lr=0.000098 | entropy_coef=0.0300
[Progress] Iter 30/1000 | avg_reward=78.1508 | p2p_mean=0.0791 | grid_buy_mean=3.1547 | grid_sell_mean=0.5231 | carbon_resp_mean=1.9602 | carbon_price=50.0000 | avg_agents=25.00 | lr=0.000097 | entropy_coef=0.0300
[Progress] Iter 35/1000 | avg_reward=79.0447 | p2p_mean=0.0816 | grid_buy_mean=3.1982 | grid_sell_mean=0.5040 | carbon_resp_mean=1.9531 | carbon_price=50.0000 | avg_agents=22.00 | lr=0.000097 | entropy_coef=0.0300
[Progress] Iter 40/1000 | avg_reward=77.8537 | p2p_mean=0.0649 | grid_buy_mean=3.1261 | grid_sell_mean=0.5096 | carbon_resp_mean=1.9311 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000096 | entropy_coef=0.0300
[Progress] Iter 45/1000 | avg_reward=77.4626 | p2p_mean=0.0454 | grid_buy_mean=3.1808 | grid_sell_mean=0.5141 | carbon_resp_mean=1.9408 | carbon_price=50.0000 | avg_agents=26.50 | lr=0.000096 | entropy_coef=0.0300
[Progress] Iter 50/1000 | avg_reward=75.6164 | p2p_mean=0.0252 | grid_buy_mean=3.1574 | grid_sell_mean=0.5790 | carbon_resp_mean=1.9632 | carbon_price=50.0000 | avg_agents=27.25 | lr=0.000095 | entropy_coef=0.0300
[Progress] Iter 55/1000 | avg_reward=77.2960 | p2p_mean=0.0145 | grid_buy_mean=3.2049 | grid_sell_mean=0.5279 | carbon_resp_mean=1.9628 | carbon_price=50.0000 | avg_agents=27.00 | lr=0.000095 | entropy_coef=0.0300
[Progress] Iter 60/1000 | avg_reward=79.6219 | p2p_mean=0.0298 | grid_buy_mean=3.4015 | grid_sell_mean=0.4398 | carbon_resp_mean=2.0302 | carbon_price=50.0000 | avg_agents=22.00 | lr=0.000094 | entropy_coef=0.0300
[Progress] Iter 65/1000 | avg_reward=77.1696 | p2p_mean=0.0336 | grid_buy_mean=3.2683 | grid_sell_mean=0.5091 | carbon_resp_mean=1.9739 | carbon_price=50.0000 | avg_agents=25.50 | lr=0.000094 | entropy_coef=0.0300
[Progress] Iter 70/1000 | avg_reward=77.1684 | p2p_mean=0.0231 | grid_buy_mean=3.2703 | grid_sell_mean=0.5117 | carbon_resp_mean=1.9896 | carbon_price=50.0000 | avg_agents=26.00 | lr=0.000093 | entropy_coef=0.0300
